question,intent,answer,source,metadata
wfh rules,wfh_policy,This is the answer for wfh policy.,generated,{}
payroll schedule please,payroll_dates,This is the answer for payroll dates.,generated,{}
tell me about leave policy urgently,leave_policy,This is the answer for leave policy.,generated,{}
download salary statement asap,payslip_access,This is the answer for payslip access.,generated,{}
payroll schedule please,payroll_dates,This is the answer for payroll dates.,generated,{}
vpn login not working please,vpn_reset,This is the answer for vpn reset.,generated,{}
vpn access process asap,vpn_access,This is the answer for vpn access.,generated,{}
apply leave in system asap,leave_request,This is the answer for leave request.,generated,{}
leave eligibility details urgently,leave_policy,This is the answer for leave policy.,generated,{}
how to update bank details urgently,bank_details,This is the answer for bank details.,generated,{}
submit leave request please,leave_request,This is the answer for leave request.,generated,{}
can i work from home urgently,wfh_policy,This is the answer for wfh policy.,generated,{}
how many leaves do i get,leave_policy,This is the answer for leave policy.,generated,{}
submit leave request asap,leave_request,This is the answer for leave request.,generated,{}
i forgot my vpn password,vpn_reset,This is the answer for vpn reset.,generated,{}
tell me about leave policy asap,leave_policy,This is the answer for leave policy.,generated,{}
salary processing date urgently,payroll_dates,This is the answer for payroll dates.,generated,{}
how can i change vpn password urgently,vpn_reset,This is the answer for vpn reset.,generated,{}
expense claim steps,expense_reimbursement,This is the answer for expense reimbursement.,generated,{}
vpn login not working urgently,vpn_reset,This is the answer for vpn reset.,generated,{}
wfh rules,wfh_policy,This is the answer for wfh policy.,generated,{}
when will i get paid asap,payroll_dates,This is the answer for payroll dates.,generated,{}
bank details update process urgently,bank_details,This is the answer for bank details.,generated,{}
laptop request process urgently,laptop_request,This is the answer for laptop request.,generated,{}
vpn setup guide urgently,vpn_access,This is the answer for vpn access.,generated,{}
request device urgently,laptop_request,This is the answer for laptop request.,generated,{}
where is my payslip,payslip_access,This is the answer for payslip access.,generated,{}
how to request laptop urgently,laptop_request,This is the answer for laptop request.,generated,{}
remote work policy urgently,wfh_policy,This is the answer for wfh policy.,generated,{}
view salary slip asap,payslip_access,This is the answer for payslip access.,generated,{}
work from home guidelines asap,wfh_policy,This is the answer for wfh policy.,generated,{}
work from home policy please,wfh_policy,This is the answer for wfh policy.,generated,{}
enable vpn access asap,vpn_access,This is the answer for vpn access.,generated,{}
expense claim steps urgently,expense_reimbursement,This is the answer for expense reimbursement.,generated,{}
how to download payslip,payslip_access,This is the answer for payslip access.,generated,{}
how to get company laptop please,laptop_request,This is the answer for laptop request.,generated,{}
download salary statement urgently,payslip_access,This is the answer for payslip access.,generated,{}
vpn setup guide please,vpn_access,This is the answer for vpn access.,generated,{}
laptop request process,laptop_request,This is the answer for laptop request.,generated,{}
submit expense claim,expense_reimbursement,This is the answer for expense reimbursement.,generated,{}
salary date asap,payroll_dates,This is the answer for payroll dates.,generated,{}
vpn access process asap,vpn_access,This is the answer for vpn access.,generated,{}
how to get company laptop asap,laptop_request,This is the answer for laptop request.,generated,{}
can i work from home urgently,wfh_policy,This is the answer for wfh policy.,generated,{}
update salary account asap,bank_details,This is the answer for bank details.,generated,{}
when will i get paid please,payroll_dates,This is the answer for payroll dates.,generated,{}
leave application steps urgently,leave_request,This is the answer for leave request.,generated,{}
how to reset vpn password please,vpn_reset,This is the answer for vpn reset.,generated,{}
need new laptop please,laptop_request,This is the answer for laptop request.,generated,{}
how to apply for leave please,leave_request,This is the answer for leave request.,generated,{}
i forgot my vpn password,vpn_reset,This is the answer for vpn reset.,generated,{}
request leave process asap,leave_request,This is the answer for leave request.,generated,{}
modify bank info urgently,bank_details,This is the answer for bank details.,generated,{}
how to get vpn access urgently,vpn_access,This is the answer for vpn access.,generated,{}
submit expense claim asap,expense_reimbursement,This is the answer for expense reimbursement.,generated,{}
modify bank info,bank_details,This is the answer for bank details.,generated,{}
change bank account urgently,bank_details,This is the answer for bank details.,generated,{}
how to apply for leave please,leave_request,This is the answer for leave request.,generated,{}
work from home policy asap,wfh_policy,This is the answer for wfh policy.,generated,{}
how to claim expenses asap,expense_reimbursement,This is the answer for expense reimbursement.,generated,{}
leave rules company,leave_policy,This is the answer for leave policy.,generated,{}
request vpn access,vpn_access,This is the answer for vpn access.,generated,{}
how to request laptop asap,laptop_request,This is the answer for laptop request.,generated,{}
